id,translation
ID_MOTD_NA_UNLOCKIRONMAN,FREE Iron Man!
ID_MOTD_DE_UNLOCKIRONMAN,Reach Commander Level 25 and claim Iron Man in Achievements
ID_MOTD_NA_EARLY_TITANETERNAL,The Mad Titan
ID_MOTD_DE_EARLY_TITANETERNAL,Unlock Thanos by spending Campaign Energy each day!
ID_MOTD_NA_STARTEROFFER,Unlock Captain America
ID_MOTD_DE_STARTEROFFER,Recruit Cap by purchasing the New Player Special Offer!
ID_MOTD_NA_STARTEROFFER_BP,Unlock Black Panther
ID_MOTD_DE_STARTEROFFER_BP,Recruit Black Panther by purchasing the New Player Special Offer!
ID_MOTD_NA_THANOS_LEGEND,The Mad Titan Arrives
ID_MOTD_DE_THANOS_LEGEND,Take on Thanos in The Mad Titan event!
ID_MOTD_NA_THANOS_RAID,LIMITED: Thanos Raids
ID_MOTD_DE_THANOS_RAID,Participate in Thanos Raids to earn more Infinity Orb Fragments!
ID_MOTD_NA_DOOM_SHOWCASE,The Might of Doom
ID_MOTD_DE_DOOM_SHOWCASE,Experience the power of Doctor Doom!
ID_MOTD_NA_ALPHARAID_START,Now Live: S.T.R.I.K.E. Raid: Alpha
ID_MOTD_DE_ALPHARAID_START,Featuring Global Villains
ID_MOTD_NA_MYSTICVILLAIN_ALPHARAIDS,S.T.R.I.K.E. Raid: Alpha
ID_MOTD_DE_MYSTICVILLAIN_ALPHARAIDS,Participate in Alpha Raids to earn select Mystic Villain character shards!
ID_MOTD_NA_BETA_RAID_BETA,S.T.R.I.K.E. Raid: Beta (feat. Blasters)
ID_MOTD_DE_BETA_RAID_BETA,Participate in Beta Raids to earn Beta Orb Fragments!
ID_MOTD_NA_HERO_SKILL_TECH_BETARAIDS,S.T.R.I.K.E. Raid: Beta
ID_MOTD_DE_HERO_SKILL_TECH_BETARAIDS,Participate in Beta Raids to earn select Skill and Tech Hero character shards!
ID_MOTD_NA_CITY_BRAWLER_PROTECTOR_GAMMARAIDS,S.T.R.I.K.E. Raid: Gamma
ID_MOTD_DE_CITY_BRAWLER_PROTECTOR_GAMMARAIDS,Participate in Gamma Raids to earn select City Brawler & Protector character shards!
ID_MOTD_NA_GAMMA_RAID,S.T.R.I.K.E. Raid: Gamma (feat. Bio Heroes)
ID_MOTD_DE_GAMMA_RAID,Participate in Gamma Raids to earn Gamma Orb Fragments!
ID_MOTD_NA_GAMMA_RAID_BRAWLER,S.T.R.I.K.E. Raid: Gamma (feat. Brawlers)
ID_MOTD_DE_GAMMA_RAID_BRAWLER,Team up to earn Brawler character shards!
ID_MOTD_NA_GLOBAL_BRAWLER_PROTECTOR_GAMMARAIDS,S.T.R.I.K.E. Raid: Gamma
ID_MOTD_DE_GLOBAL_BRAWLER_PROTECTOR_GAMMARAIDS,Participate in Gamma Raids to earn select Global Brawlers and Protector character shards!
ID_MOTD_NA_MYSTICHERO_ALPHARAIDS,Now Live: S.T.R.I.K.E. Raid: Alpha
ID_MOTD_DE_MYSTICHERO_ALPHARAIDS,Earn character shards for select Mystic Heroes!
ID_MOTD_NA_BLACKBOLT_LE_HYPE,Prepare for Black Bolt!
ID_MOTD_DE_BLACKBOLT_LE_HYPE,Recruit the Asgardian team for the upcoming Legendary Event
ID_MOTD_NA_BLACKBOLT_PREVIEW,Coming Soon: Unite the Kingdoms
ID_MOTD_DE_BLACKBOLT_PREVIEW,Prepare for the Inhuman Legendary Blaster!
ID_MOTD_NA_BLACKBOLT_LIVE,LIMITED: Unite the Kingdoms
ID_MOTD_DE_BLACKBOLT_LIVE,Play the event to earn Black Bolt shards!
ID_MOTD_NA_DOCTOROCTOPUS_PREVIEW,Coming Soon: Surgical S.T.R.I.K.E.
ID_MOTD_DE_DOCTOROCTOPUS_PREVIEW,Prepare for the Sinister Six Legendary Support!
ID_MOTD_NA_DOCTOROCTOPUS_LIVE,LIMITED: Surgical S.T.R.I.K.E.
ID_MOTD_DE_DOCTOROCTOPUS_LIVE,Play the event to earn Doctor Octopus shards!
ID_MOTD_NA_EBONYMAW_PREVIEW,Coming Soon: Black & Ebony
ID_MOTD_DE_EBONYMAW_PREVIEW,Prepare for Black Order's Legendary Support!
ID_MOTD_NA_EBONYMAW_LIVE,LIMITED: Black & Ebony
ID_MOTD_DE_EBONYMAW_LIVE,Play the event to earn Ebony Maw shards!
ID_MOTD_NA_INVISIBLEWOMAN_PREVIEW,Coming Soon: Now You See Me
ID_MOTD_DE_INVISIBLEWOMAN_PREVIEW,Prepare for the Fantastic Four Legendary Protector!
ID_MOTD_NA_INVISIBLEWOMAN_LIVE,LIVE: Now You See Me
ID_MOTD_DE_INVISIBLEWOMAN_LIVE,Play the event to earn Invisible Woman shards!
ID_MOTD_NA_IRONMANLIVE,Live: I am Iron Man
ID_MOTD_DE_IRONMANLIVE,Recruit Iron Man for a limited time!
ID_MOTD_DE_IRONMANLIVE_LC,Battle to recruit Iron Man!
ID_MOTD_NA_IRONMANTEASER,Coming Soon: I am Iron Man
ID_MOTD_DE_IRONMANTEASER,"Event starts June 11, 5:00PM (PDT)!"
ID_MOTD_DE_IRONMANTEASER_LC,Prepare to recruit the Legendary Avenger!
ID_MOTD_NA_MAGNETO_PREVIEW,Coming Soon: Asteroid M
ID_MOTD_DE_MAGNETO_PREVIEW,Prepare for the legendary Brotherhood leader!
ID_MOTD_NA_MAGNETO_LIVE,LIMITED: Asteroid M
ID_MOTD_DE_MAGNETO_LIVE,Play the event to earn Magneto shards!
ID_MOTD_NA_NICKFURY_PREVIEW,Coming Soon: Chasing Fury
ID_MOTD_DE_NICKFURY_PREVIEW,Prepare for the legendary S.H.I.E.L.D. leader!
ID_MOTD_NA_NICKFURY_LIVE,Live: Chasing Fury
ID_MOTD_DE_NICKFURY_LIVE,Recruit Nick Fury for a limited time!
ID_MOTD_NA_PHOENIX_PREVIEW,Coming Soon: Phoenix Rising
ID_MOTD_DE_PHOENIX_PREVIEW,Prepare for the X-Men Legendary Controller!
ID_MOTD_NA_PHOENIX_LIVE,LIMITED: Phoenix Rising
ID_MOTD_DE_PHOENIX_LIVE,Play the event to earn Phoenix shards!
ID_MOTD_NA_SHURI_PREVIEW,Coming Soon: Princess and the Symbiote
ID_MOTD_DE_SHURI_PREVIEW,Prepare for the legendary Wakandan!
ID_MOTD_NA_SHURI_LIVE,LIMITED: Princess and the Symbiote
ID_MOTD_DE_SHURI_LIVE,Play the event to earn Shuri shards!
ID_MOTD_NA_STARLORDTEASER,Coming Soon: Space Ace
ID_MOTD_DE_STARLORDTEASER,Prepare for the legendary Guardian!
ID_MOTD_NA_STARLORDLIVE,Live: Space Ace
ID_MOTD_DE_STARLORDLIVE,Recruit Star-Lord for a limited time!
ID_MOTD_NA_ANTMAN_ECINTRO,LIMITED: I am the Ant-Man
ID_MOTD_DE_ANTMAN_ECINTRO,Play the event to earn Ant-Man shards!
ID_MOTD_NA_BLOODSTONE_ECM_LIVE,The Bloodstone Files
ID_MOTD_DE_BLOODSTONE_ECM_LIVE,Battle for a chance to win Elsa Bloodstone shards!
ID_MOTD_NA_CRYSTAL_ECM_PREVIEW,Coming Soon: Imperial Affairs
ID_MOTD_DE_CRYSTAL_ECM_PREVIEW,Prepare for Crystal!
ID_MOTD_NA_CRYSTAL_ECM_LIVE,LIVE: Imperial Affairs
ID_MOTD_DE_CRYSTAL_ECM_LIVE,Battle for a chance to win Crystal shards!
ID_MOTD_NA_DOMINO_ECM_PREVIEW,Coming Soon: Serendipity
ID_MOTD_DE_DOMINO_ECM_PREVIEW,Prepare for Domino!
ID_MOTD_NA_DOMINO_ECM_LIVE,LIVE: Serendipity
ID_MOTD_DE_DOMINO_ECM_LIVE,Battle for a chance to win Domino shards!
ID_MOTD_NA_ECINTRO_SCARLET,LIMITED: The Nexus Guardian
ID_MOTD_DE_ECINTRO_SCARLET,Play the event to earn Scarlet Witch shards!
ID_MOTD_NA_ECM_BLACKORDER_PREVIEW,Upcoming: Enter The Black Order
ID_MOTD_DE_ECM_BLACKORDER_PREVIEW,Prepare for Proxima Midnight!
ID_MOTD_NA_ECM_BLACKORDER_LIVE,LIVE: Enter The Black Order
ID_MOTD_DE_ECM_BLACKORDER_LIVE,Battle for a chance to win Proxima Midnight shards!
ID_MOTD_NA_FALCON_PREVIEW,Coming Soon: Front Lines
ID_MOTD_DE_FALCON_PREVIEW,"Event starts April 29, 5:00PM (PDT)"
ID_MOTD_NA_FALCON_LIVE,LIMITED: Front Lines
ID_MOTD_DE_FALCON_LIVE,Play now to earn Falcon shards!
ID_MOTD_NA_GRAVITON_ECM_PREVIEW,Coming Soon: Fantastic Plans
ID_MOTD_DE_GRAVITON_ECM_PREVIEW,Prepare for Graviton
ID_MOTD_NA_GRAVITON_ECM_LIVE,LIVE: Fantastic Plans
ID_MOTD_DE_GRAVITON_ECM_LIVE,Battle for a chance to win Graviton shards
ID_MOTD_NA_HEIMDALL_ECM_PREVIEW,Coming Soon: Favor of the Gods
ID_MOTD_DE_HEIMDALL_ECM_PREVIEW,Prepare for Heimdall
ID_MOTD_NA_HEIMDALL_ECM_LIVE,LIVE: Favor of the Gods
ID_MOTD_DE_HEIMDALL_ECM_LIVE,Battle for a chance to win Heimdall shards
ID_MOTD_NA_JUGGERNAUT_PREVIEW,Coming Soon: Unstoppable
ID_MOTD_DE_JUGGERNAUT_PREVIEW,"Event starts November 11, 4:00PM (PST)"
ID_MOTD_NA_JUGGERNAUT_LIVE,LIMITED: Unstoppable
ID_MOTD_DE_JUGGERNAUT_LIVE,Play the event to earn Juggernaut shards!
ID_MOTD_NA_MINNERVA_LIVE,LIMITED: Kree Commandos
ID_MOTD_DE_MINNERVA_LIVE,Assist Minn-Erva to get allied S.T.R.I.K.E. forces into our dimension.
ID_MOTD_NA_MSMARVEL_LIVE,LIMITED: Jersey's Finest
ID_MOTD_DE_MSMARVEL_LIVE,Play the event to earn Ms. Marvel shards!
ID_MOTD_NA_PSYLOCKE_PREVIEW,Coming Soon: Move In Shadows
ID_MOTD_DE_PSYLOCKE_PREVIEW,"Event starts May 27, 5:00PM (PDT)"
ID_MOTD_NA_PSYLOCKE_LIVE,LIMITED: Move In Shadows
ID_MOTD_DE_PSYLOCKE_LIVE,Play now to earn Psylocke shards!
ID_MOTD_NA_PYRO_PREVIEW,Coming Soon: Hot Head
ID_MOTD_DE_PYRO_PREVIEW,"Event starts December 27, 4:00 PM (PST)"
ID_MOTD_NA_PYRO_LIVE,LIMITED: Hot Head
ID_MOTD_DE_PYRO_LIVE,Play now to earn Pyro shards!
ID_MOTD_NA_ROCKETRACCOON_LIVE,Recruit Rocket Raccoon!
ID_MOTD_DE_ROCKETRACCOON_LIVE,Earn Rocket Raccoon Shards by completing the Rocket's Gambit event!
ID_MOTD_NA_ROCKETRACCOON_TEASER,Upcoming Event: Rocket's Gambit
ID_MOTD_DE_ROCKETRACCOON_TEASER,Unlocks at Lv 20!
ID_MOTD_NA_SABRETOOTH_PREVIEW,Coming Soon: Hunter's Instinct
ID_MOTD_DE_SABRETOOTH_PREVIEW,"Event starts January 9, 4:00 PM (PST)"
ID_MOTD_NA_SABRETOOTH_LIVE,LIMITED: Hunter's Instinct
ID_MOTD_DE_SABRETOOTH_LIVE,Play now to earn Sabretooth shards!
ID_MOTD_NA_SCARLETWITCH_LIVE,LIMITED: The Nexus Guardian
ID_MOTD_DE_SCARLETWITCH_LIVE,Play the event to earn Scarlet Witch shards!
ID_MOTD_NA_SINISTER_SIX_PREVIEW,Coming Soon: Sinister S.T.R.I.K.E.
ID_MOTD_DE_SINISTER_SIX_PREVIEW,"Event starts July 1, 5:00PM (PDT)"
ID_MOTD_NA_SINISTER_SIX_LIVE,LIMITED: Sinister S.T.R.I.K.E.
ID_MOTD_DE_SINISTER_SIX_LIVE,Play now to earn Rhino shards!
ID_MOTD_NA_SQUIRRELGIRL_ECM_PREVIEW,Coming Soon: Unbeatable Education
ID_MOTD_DE_SQUIRRELGIRL_ECM_PREVIEW,Prepare for Squirrel Girl!
ID_MOTD_NA_SQUIRRELGIRL_ECM_LIVE,LIVE: Unbeatable Education
ID_MOTD_DE_SQUIRRELGIRL_ECM_LIVE,Battle for a chance to win Squirrel Girl shards!
ID_MOTD_NA_STORM_LIVE,LIMITED: Eye of the Storm
ID_MOTD_DE_STORM_LIVE,Play the event to earn Storm shards!
ID_MOTD_NA_SWARM_ECM_PREVIEW,Coming Soon: One of Many
ID_MOTD_DE_SWARM_ECM_PREVIEW,Prepare for Swarm!
ID_MOTD_NA_SWARM_ECM_LIVE,LIVE: One of Many
ID_MOTD_DE_SWARM_ECM_LIVE,Battle for a chance to win Swarm shards!
ID_MOTD_NA_TASKMASTER_ECM_PREVIEW,Coming Soon: Master Class
ID_MOTD_DE_TASKMASTER_ECM_PREVIEW,Prepare for Taskmaster
ID_MOTD_NA_TASKMASTER_ECM_LIVE,LIVE: Master Class
ID_MOTD_DE_TASKMASTER_ECM_LIVE,Battle for a chance to win Taskmaster shards
ID_MOTD_NA_THING_PREVIEW,Coming Soon: Two-in-One
ID_MOTD_DE_THING_PREVIEW,"Event starts August 9, 5:00PM (PDT)"
ID_MOTD_NA_THING_LIVE,LIMITED: Two-in-One
ID_MOTD_DE_THING_LIVE,Play now to earn The Thing shards!
ID_MOTD_NA_TOAD_ECM_PREVIEW,Coming Soon: Misfit Misadventures
ID_MOTD_DE_TOAD_ECM_PREVIEW,Prepare for Toad!
ID_MOTD_NA_TOAD_ECM_LIVE,LIVE: Misfit Misadventures
ID_MOTD_DE_TOAD_ECM_LIVE,Battle for a chance to win Toad shards!
ID_MOTD_NA_ULTSPIDERMAN_PREVIEW,Coming Soon: Web-Head Warriors
ID_MOTD_DE_ULTSPIDERMAN_PREVIEW,"Event starts December 14, 4:00PM (PST)"
ID_MOTD_NA_ULTSPIDERMAN_LIVE,Now Live: Web-Head Warriors
ID_MOTD_DE_ULTSPIDERMAN_LIVE,Join Miles and Peter as they swing into action in a world overtaken by androids!
ID_MOTD_NA_VENOM_LIVE,LIMITED: Symbiotic
ID_MOTD_DE_VENOM_LIVE,Play the event to earn Venom shards!
ID_MOTD_NA_WARMACHINE_PREVIEW,Coming Soon: Prelude to War
ID_MOTD_DE_WARMACHINE_PREVIEW,"Event starts January 25, 4:00PM (PST)"
ID_MOTD_NA_WARMACHINE_LIVE,LIMITED: Prelude to War
ID_MOTD_DE_WARMACHINE_LIVE,"Earn War Machine,  S.H.I.E.L.D., and Avenger shards!"
ID_MOTD_NA_WASP_ECINTRO,LIMITED: Sting of the Wasp
ID_MOTD_DE_WASP_ECINTRO,Play the event to earn Wasp shards!
ID_MOTD_NA_SCREAM_PREVIEW,Coming Soon: Scream
ID_MOTD_DE_SCREAM_PREVIEW,This punishing parasite is on her way!
ID_MOTD_NA_SCREAM_LIVE,LIVE: Parasitic Intentions
ID_MOTD_DE_SCREAM_LIVE,Battle to win Scream shards!
ID_MOTD_NA_STATURE_PREVIEW,"Coming Soon: Tiny Stature, Big Problem"
ID_MOTD_DE_STATURE_PREVIEW,Prepare for Stature!
ID_MOTD_NA_STATURE_LIVE,"LIVE: Tiny Stature, Big Problem"
ID_MOTD_DE_STATURE_LIVE,Battle to earn Stature shards!
ID_MOTD_NA_STATURE_PREHYPE,Coming Soon: Stature
ID_MOTD_DE_STATURE_PREHYPE,The Mighty Pym Protector is on her way!
ID_MOTD_NA_ANTMAN_WASP_TEAMUP_LIVE,LIVE: Back to Tiny World
ID_MOTD_DE_ANTMAN_WASP_TEAMUP_LIVE,Join Ant-Man and Wasp on their adventure to tiny Earth!
ID_MOTD_NA_ANTMAN_WASP_TEAMUP_PREVIEW,Upcoming: Back to Tiny World
ID_MOTD_DE_ANTMAN_WASP_TEAMUP_PREVIEW,Join up with Ant-Man and Wasp in this new adventure!
ID_MOTD_NA_ANTMANWASP,Back to Tiny World: Now Live!
ID_MOTD_DE_ANTMANWASP,Battle with Ant-Man and the Wasp for huge rewards!
ID_MOTD_NA_ANTMANWASPTEASER,Coming Soon: Back to Tiny World
ID_MOTD_DE_ANTMANWASPTEASER,"Event starts March 27, 5:00PM (PDT)!"
ID_MOTD_NA_ROCKETGROOT,Rocket's Gambit: Now Live!
ID_MOTD_DE_ROCKETGROOT,Battle for a chance to win Rocket Raccoon shards
ID_MOTD_NA_ROCKETGROOT_ECINTRO,LIMITED: Rocket's Gambit
ID_MOTD_DE_ROCKETGROOT_ECINTRO,Play the event to earn Rocket Raccoon shards!
ID_MOTD_NA_SWMM_PREVIEW,Coming Soon: Bendy Girl & The Witch
ID_MOTD_DE_SWMM_PREVIEW,"Event starts April 8, 5:00PM (PDT)!"
ID_MOTD_NA_SWMM,Bendy Girl & The Witch: Now Live!
ID_MOTD_DE_SWMM,Battle with Scarlet Witch and Ms. Marvel for huge rewards!
ID_MOTD_NA_4ASGARD,Live: 4 Asgard!
ID_MOTD_DE_4ASGARD,2x Asgardian shards from Campaign
ID_MOTD_NA_BADSCIENCE,Live: Bad Science
ID_MOTD_DE_BADSCIENCE,2x A.I.M. shards from Campaign!
ID_MOTD_NA_BLOCKPARTY_PREVIEW,Coming Soon: Block Party
ID_MOTD_DE_BLOCKPARTY_PREVIEW,Earn tons of Ability Materials
ID_MOTD_NA_BLOCKPARTY_LIVE,Live: Block Party
ID_MOTD_DE_BLOCKPARTY_LIVE,Earn tons of ABILITY MATERIALS
ID_MOTD_NA_BROMEN,Live: Gifted Gathering
ID_MOTD_DE_BROMEN,2x X-Men and Brotherhood shards from Campaign
ID_MOTD_NA_CALLINGAGENTS,Live: Calling All Agents
ID_MOTD_DE_CALLINGAGENTS,2x S.H.I.E.L.D. shards from Campaign
ID_MOTD_NA_DOUBLETROUBLE,Live: Double Trouble
ID_MOTD_DE_DOUBLETROUBLE,2x Sinister Six shards from Campaign
ID_MOTD_NA_FL_WAKANDAN_PREVIEW,Coming Soon: Chaos Theory
ID_MOTD_DE_FL_WAKANDAN_PREVIEW,Prepare your Wakandan team to earn various Red Star rewards!
ID_MOTD_NA_FL_WAKANDAN_LIVE,LIVE: Chaos Theory
ID_MOTD_DE_FL_WAKANDAN_LIVE,Assemble your Wakandan team to earn various Red Star rewards!
ID_MOTD_NA_FRIENDLY_NEIGHBORHOOD,LIVE: Friendly Neighborhood
ID_MOTD_DE_FRIENDLY_NEIGHBORHOOD,Use Spider-Verse characters to fight in battles to earn gear!
ID_MOTD_NA_GOINGKNOWHERE,Live: Going Knowhere
ID_MOTD_DE_GOINGKNOWHERE,2x Guardian and Ravager shards from Campaign
ID_MOTD_NA_IM_CALLINGAGENTS,Live: Calling All Agents
ID_MOTD_DE_IM_CALLINGAGENTS,2x S.H.I.E.L.D. shards from Campaign
ID_MOTD_NA_KREEFORALL,Live: Kree For All
ID_MOTD_DE_KREEFORALL,2x Kree minion shards from Campaign!
ID_MOTD_NA_MALICIOUSMANIPULATORS,Malicious Manipulators
ID_MOTD_DE_MALICIOUSMANIPULATORS,2x shards for Phoenix event characters!
ID_MOTD_NA_NEEDAHAND,Live: Need A Hand?
ID_MOTD_DE_NEEDAHAND,2x Hand shards from Campaign!
ID_MOTD_NA_NEIGHBORHOOD,Live: Neighborhood Watch
ID_MOTD_DE_NEIGHBORHOOD,2x City Hero shards from Campaign!
ID_MOTD_NA_PAYDAY_PREVIEW,Coming Soon: Payday
ID_MOTD_DE_PAYDAY_PREVIEW,Battle with your Mercenaries and earn a ton of Gold!
ID_MOTD_NA_PAYDAY,Payday: Now Live!
ID_MOTD_DE_PAYDAY,Battle with your Mercenaries and earn a ton of Gold!
ID_MOTD_NA_PAYDAY_LIVE,Live: Payday
ID_MOTD_DE_PAYDAY_LIVE,Amass tons of gold in this ONE-DAY event
ID_MOTD_NA_PAYDAYMERC,Live: Merc Mayhem
ID_MOTD_DE_PAYDAYMERC,2x Mercenary shards from Campaign
ID_MOTD_NA_RELICHUNT_PREVIEW,Coming Soon: Relic Hunt
ID_MOTD_DE_RELICHUNT_PREVIEW,Uncover the Hand relic and earn Catalyst materials!
ID_MOTD_NA_RELICHUNT,Relic Hunt: Now Live!
ID_MOTD_DE_RELICHUNT,Battle with your Hand warriors and earn Catalyst materials!
ID_MOTD_NA_RELICHUNT_LIVE,Live: Relic Hunt
ID_MOTD_DE_RELICHUNT_LIVE,Uncover the Hand relic and earn Catalyst materials!
ID_MOTD_NA_TERRIGENSTORM,Live: Terrigen Storm
ID_MOTD_DE_TERRIGENSTORM,2x Inhuman shards from Campaign
ID_MOTD_NA_TANGLEDWEB,Live: Tangled Web
ID_MOTD_DE_TANGLEDWEB,2x Spider-Verse shards from Campaign
ID_MOTD_NA_WAKANDANATION,Live: Wakanda Nation!
ID_MOTD_DE_WAKANDANATION,2x Wakandan shards from Campaign
ID_MOTD_NA_BLUEGEAR_BLITZ,LIMITED: Gear Strike: Blue
ID_MOTD_DE_BLUEGEAR_BLITZ,24-hour Blitz to earn tons of Blue Gear!
ID_MOTD_NA_BLUEGEAR,Gear Strike: Blue: Now Live!
ID_MOTD_DE_BLUEGEAR,Battle for a chance to win Blue Gear Orbs
ID_MOTD_NA_CATALYSTCATACLYSM,Catalyst Cataclysm
ID_MOTD_DE_CATALYSTCATACLYSM,Get 3x Basic Catalysts from Campaign!
ID_MOTD_NA_ENERGY_OVERLOAD,LIVE: Energy Overload
ID_MOTD_DE_ENERGY_OVERLOAD,"For 24 hours, Campaign Energy when purchased will be doubled from 120 to 240!"
ID_MOTD_NA_GEARBLOWOUT,LIVE: Gear Blowout
ID_MOTD_DE_GEARBLOWOUT,Reduced cost to refresh the Main Store and items sold for Gold!
ID_MOTD_NA_GOLD,Gold Conquest: Now Live!
ID_MOTD_DE_GOLD,Battle for a chance to win Gold Orbs
ID_MOTD_NA_GOLD_CRYPT,LIVE: Gold Crypt
ID_MOTD_DE_GOLD_CRYPT,Increased Gold from Campaigns!
ID_MOTD_NA_GOLDCONQUEST_BLITZ,LIMITED: Gold Conquest
ID_MOTD_DE_GOLDCONQUEST_BLITZ,24-hour Blitz to earn Gold Orbs!
ID_MOTD_NA_ODINS_GIFTS,LIVE: Odin's Gifts
ID_MOTD_DE_ODINS_GIFTS,Donate to earn boosted rewards from Donation Milestone Boxes!
ID_MOTD_NA_ORANGE_GEAR,Power Up with Orange Gear
ID_MOTD_DE_ORANGE_GEAR,Gear Tier 12 items are now available!
ID_MOTD_NA_ORANGEGEAR,Gear Strike: Orange: Now Live!
ID_MOTD_DE_ORANGEGEAR,Battle for a chance to win Orange Gear Orbs
ID_MOTD_NA_ORANGEGEAR_BLITZ,LIMITED: Gear Strike: Orange
ID_MOTD_DE_ORANGEGEAR_BLITZ,24-hour Blitz to earn tons of Orange Gear!
ID_MOTD_NA_ORB,Orb Assault: Now Live!
ID_MOTD_DE_ORB,Battle for a chance to win ORB FRAGMENTS
ID_MOTD_NA_ORB_AVALANCHE_MILESTONE,LIVE: Orb Avalanche
ID_MOTD_DE_ORB_AVALANCHE_MILESTONE,Continue opening orbs to earn points for huge payouts!
ID_MOTD_NA_ORB_STORM,LIMITED: Orb Storm
ID_MOTD_DE_ORB_STORM,Earn 4x Basic Orb Fragments from Campaign for the next 24 hours!
ID_MOTD_NA_PURPLEGEAR,Gear Strike: Purple: Now Live!
ID_MOTD_DE_PURPLEGEAR,Battle for a chance to win Purple Gear Orbs
ID_MOTD_NA_PURPLEGEAR_BLITZ,LIMITED: Gear Strike: Purple
ID_MOTD_DE_PURPLEGEAR_BLITZ,24-hour Blitz to earn tons of Purple Gear!
ID_MOTD_NA_QUARTERBLITZ,Live: Quarter Blitz
ID_MOTD_DE_QUARTERBLITZ,Playing Blitz has never been cheaper
ID_MOTD_NA_RAIDFRENZY,LIVE: Raid Frenzy
ID_MOTD_DE_RAIDFRENZY,Reduced cost to use Raid Health Packs and purchase Raid Energy
ID_MOTD_NA_RAININGGOLD,Raining Gold!
ID_MOTD_DE_RAININGGOLD,Increased Gold from Campaigns!
ID_MOTD_NA_REENERGIZE,LIVE: Re-Energize
ID_MOTD_DE_REENERGIZE,"For 24 hours, enjoy reduced costs when you refresh Campaign Energy!"
ID_MOTD_NA_SATENGAGE,Live: Campaign Cashout
ID_MOTD_DE_SATENGAGE,2x Campaign energy per refill!
ID_MOTD_NA_SEEINGDOUBLE,LIVE: Seeing Double
ID_MOTD_DE_SEEINGDOUBLE,"For 24 hours, enjoy 2x shards for select characters!"
ID_MOTD_NA_SUPERSALESATURDAY,Super Sale Saturday
ID_MOTD_DE_SUPERSALESATURDAY,Don't miss out on limited-time deals in this 24-hour event!
ID_MOTD_NA_SUPERSALESUNDAY,Super Sale Sunday
ID_MOTD_DE_SUPERSALESUNDAY,Don't miss out on limited-time deals this weekend!
ID_MOTD_NA_HALLOWEEN_2020_BLITZ,Now Live: Waking Nightmare
ID_MOTD_DE_HALLOWEEN_2020_BLITZ,"Use Anti-Venom and other featured characters in BLITZ,  ARENA,  and RAID to hit milestones."
ID_MOTD_NA_TRAINING,Train Station: Now Live!
ID_MOTD_DE_TRAINING,Battle for a chance to win Training Orbs
ID_MOTD_NA_DOUBLETRAINING,Train And Gain
ID_MOTD_DE_DOUBLETRAINING,Increased Training Modules from Campaigns!
